chosen model,RIM
SIM RL,1467.8675007365964
SIM IR,0.010775480658645914
SIM AI,1.642635595684587
SIM Lasso Flag,True
RIM RL,1503.925591423913
RIM IR,0.001169685831729958
RIM DR,0.023684548876276558
RIM AI,1.6048096853368503
RIM AD,1.5238400938297822
RIM Lasso Flag,True
